Crop_Type,Soil_Type,Soil_pH,Soil_Organic_Carbon,Total_Nitrogen,Available_Phosphorus,Available_Potassium,Bulk_Density,Rainfall,Temperature,Humidity,Wind_Speed,Evapotranspiration,Soil_Moisture_Level,Growth_Stage,Fertilizer_Type,Fertilizer_Treatment,Application_Rate,Application_Method,Coating_Type,Irrigation_Type,Water_Amount,Total_Fertilizer_Loss_kg_ha,Fertilizer_Loss_Percentage,Nitrogen_Loss,Phosphorus_Loss,Potassium_Loss
Citrus,Clay,7.28,2.17,74.3,57.05,310.11,1.43,70.5,35.31,85.21,5.71,7.11,Low,Mid,Urea,OF,97.66,Foliar,Controlled_Release,Flood,41.35,42.68,43.7,21.34,12.8,8.54
Vegetable,Sandy,6.5,1.69,288.16,64.65,61.91,1.44,105.57,23.98,52.82,3.45,5.7,Low,Late,PK,CF,161.94,Drip,Controlled_Release,Drip,24.32,64.59,39.89,32.3,19.38,12.92
Citrus,Loamy,6.86,0.93,217.63,63.64,56.81,1.52,5.67,18.49,80.14,4.34,5.56,High,Initial,NPK,CF,142.71,Foliar,Biochar,Flood,10.32,41.83,29.31,20.92,12.55,8.37
Vegetable,Loamy,5.64,2.44,280.64,38.39,162.58,1.42,75.96,24.98,88.76,2.71,5.2,Low,Initial,NK,CF,85.72,Broadcast,Biochar,Sprinkler,28.3,39.28,45.82,19.64,11.78,7.86
Citrus,Loamy,7.36,1.97,150.29,66.99,229.05,1.14,62.5,33.31,83.05,0.73,4.52,High,Initial,PK,OF,196.73,Drip,Normal,Sprinkler,40.11,65.08,33.08,32.54,19.52,13.02
Wheat,Loamy,7.47,1.91,75.44,37.29,355.68,1.54,19.21,18.94,90.67,5.3,2.57,Low,Mid,NK,OF,107.57,Broadcast,Biochar,Drip,78.56,33.8,31.42,16.9,10.14,6.76
Citrus,Loamy,5.8,1.03,125.61,55.2,113.33,1.15,26.05,15.86,56.87,4.96,2.87,Low,Initial,PK,CF,132.37,Broadcast,Controlled_Release,Sprinkler,77.92,43.04,32.51,21.52,12.91,8.61
Wheat,Clay,7.86,1.13,222.42,63.22,180.44,1.32,18.28,19.79,63.13,4.46,5.14,Medium,Mid,NPK,CF,70.33,Broadcast,Normal,Drip,64.17,33.78,48.03,16.89,10.13,6.76
Wheat,Clay,7.44,1.84,248.81,62.88,202.39,1.41,28.69,32.47,61.57,5.71,6.5,Medium,Late,Urea,OF,182.57,Foliar,Biochar,Sprinkler,20.68,52.22,28.6,26.11,15.67,10.44
Rice,Sandy,6.97,1.69,62.53,34.29,220.7,1.42,0.18,22.91,58.62,1.91,6.74,High,Initial,Urea,CF,143.3,Drip,Biochar,Flood,46.75,42.59,29.72,21.3,12.78,8.52
Wheat,Loamy,7.16,1.79,171.74,49.96,296.7,1.32,37.79,39.27,48.29,1.43,4.93,Medium,Late,Urea,OF,186.42,Drip,Biochar,Sprinkler,43.46,54.61,29.29,27.3,16.38,10.92
Corn,Loamy,7.01,2.26,66.09,52.98,368.47,1.27,117.7,16.46,40.95,1.55,5.54,Medium,Late,Urea,OF,71.03,Broadcast,Biochar,Flood,72.24,48.58,68.39,24.29,14.57,9.72
Wheat,Loamy,5.66,0.82,265.9,26.44,95.18,1.25,75.3,35.93,54.47,1.79,2.53,High,Late,Urea,CF,129.78,Drip,Biochar,Drip,73.86,61.8,47.62,30.9,18.54,12.36
Citrus,Sandy,7.71,0.73,169.08,10.57,214.57,1.59,64.72,38.44,94.62,4.05,5.52,Low,Mid,NK,CF,187.37,Foliar,Normal,Drip,60.14,70.71,37.74,35.35,21.21,14.14
Wheat,Loamy,7.04,1.63,278.71,16.95,394.69,1.27,65.82,21.99,56.17,3.03,6.78,Low,Late,Urea,OF,138.92,Drip,Normal,Flood,55.06,55.3,39.81,27.65,16.59,11.06
Citrus,Clay,6.02,1.5,69.64,12.42,259.7,1.39,71.99,26.04,84.21,5.61,5.71,Medium,Mid,Urea,OF,80.65,Foliar,Biochar,Flood,12.43,42.51,52.71,21.26,12.75,8.5
Citrus,Loamy,7.54,1.31,132.62,30.91,347.01,1.39,88.83,28.92,48.21,5.25,2.21,Medium,Late,NPK,CF,66.66,Broadcast,Controlled_Release,Drip,54.98,46.48,69.73,23.24,13.94,9.3
Corn,Sandy,7.59,2.31,219.13,32.82,361.41,1.39,95.52,25.03,70.67,3.55,7.63,Low,Late,NK,CF,143.77,Broadcast,Biochar,Drip,76.95,56.77,39.49,28.38,17.03,11.35
Wheat,Clay,6.14,1.62,123.4,70.62,74.86,1.41,3.51,20.69,46.4,3.34,5.31,Medium,Late,NK,OF,130.7,Drip,Normal,Sprinkler,43.2,42.6,32.59,21.3,12.78,8.52
Wheat,Clay,7.89,1.63,260.39,18.75,218.33,1.23,22.38,24.02,76.61,5.09,2.59,High,Mid,Urea,CF,102.08,Broadcast,Biochar,Sprinkler,75.81,37.25,36.49,18.62,11.18,7.45
Vegetable,Clay,6.87,1.23,296.71,22.96,386.65,1.27,19.85,32.09,46.13,3.25,4.49,Medium,Initial,NPK,OF,102.67,Foliar,Normal,Sprinkler,79.07,40.95,39.89,20.48,12.28,8.19
Vegetable,Loamy,6.04,1.19,120.3,53.4,102.24,1.14,45.54,24.53,56.19,3.69,2.22,Medium,Late,PK,CF,199.86,Foliar,Controlled_Release,Flood,52.64,61.48,30.76,30.74,18.44,12.3
Rice,Sandy,7.47,2.48,140.27,42.84,115.95,1.39,31.88,23.75,47.24,2.92,7.63,High,Mid,Urea,CF,192.61,Drip,Controlled_Release,Sprinkler,50.88,49.67,25.79,24.84,14.9,9.93
Citrus,Sandy,7.29,1.75,291.84,79.53,227.12,1.22,98.23,21.55,59.63,1.72,5.26,Medium,Initial,NPK,CF,134.93,Foliar,Controlled_Release,Flood,25.84,58.68,43.49,29.34,17.6,11.74
Corn,Loamy,6.01,2.15,139.52,63.34,96.61,1.19,49.29,39.43,57.34,1.83,4.05,High,Late,PK,CF,75.7,Foliar,Normal,Drip,35.99,38.93,51.43,19.46,11.68,7.79
Vegetable,Sandy,8.12,1.39,189,28.92,350.97,1.52,100.88,38.15,54.93,5.58,2.47,Medium,Initial,Urea,OF,153.26,Foliar,Controlled_Release,Drip,68.55,65.91,43.01,32.96,19.77,13.18
Wheat,Clay,8.06,0.88,242.31,60.51,316.97,1.39,85.79,34.47,48.17,1.14,2.42,Low,Mid,NPK,CF,168.6,Broadcast,Controlled_Release,Drip,32.38,67.36,39.95,33.68,20.21,13.47
Rice,Clay,8.01,1.15,159.59,25.98,347.35,1.38,52.76,38.17,68.61,3.27,3.85,Medium,Mid,Urea,CF,115.43,Drip,Normal,Drip,67.73,51.88,44.94,25.94,15.56,10.38
Corn,Sandy,6.7,1.19,143.15,57.71,191.83,1.18,114.94,26.76,51.08,4.41,5.17,Low,Initial,PK,CF,111.42,Drip,Biochar,Flood,34.59,61.89,55.55,30.94,18.57,12.38
Wheat,Sandy,7.97,1.63,173.9,12.56,276.43,1.32,94.82,23.49,85.94,3.41,5.15,Low,Initial,PK,OF,64.19,Foliar,Normal,Sprinkler,79.87,46.75,72.83,23.38,14.02,9.35
Wheat,Loamy,8.03,0.81,244.88,23.97,164.47,1.38,84.29,33.73,76.15,3.17,5.96,Low,Initial,PK,CF,181.3,Drip,Biochar,Flood,76.1,71.27,39.31,35.64,21.38,14.25
Citrus,Loamy,8.49,1.27,128.04,17.18,72.11,1.32,93.98,31.87,87.07,2.5,5.88,High,Late,NK,OF,100.63,Foliar,Biochar,Drip,62.61,55.27,54.92,27.64,16.58,11.05
Citrus,Loamy,8.37,0.7,137.7,40.03,321.19,1.37,50.31,37.77,87.34,1.19,7.84,High,Mid,NPK,OF,180,Foliar,Biochar,Sprinkler,23.12,61.99,34.44,31,18.6,12.4
Vegetable,Loamy,6.65,1.49,97.28,48.74,390.09,1.11,13.31,17.98,58.39,5.48,2.59,Low,Late,Urea,OF,191.81,Foliar,Controlled_Release,Flood,73.88,49.67,25.9,24.84,14.9,9.93
Vegetable,Loamy,6.09,2.39,225.4,28.16,150.08,1.2,49.35,34.19,44.09,4.55,6.38,High,Late,Urea,CF,120.04,Drip,Controlled_Release,Flood,60.73,47.38,39.47,23.69,14.21,9.48
Wheat,Loamy,6.38,1.18,274.86,78.5,150.67,1.21,61.87,25.82,53.98,5.89,4.94,Medium,Mid,NPK,OF,87.43,Foliar,Normal,Drip,63.37,48.67,55.67,24.34,14.6,9.73
Wheat,Clay,6.98,0.6,96.43,38.74,122.29,1.29,12.79,34.55,64.23,0.7,7.01,Low,Late,Urea,CF,130.88,Broadcast,Normal,Drip,21.45,47.68,36.43,23.84,14.3,9.54
Vegetable,Sandy,7.92,1.72,58.65,49.32,199.31,1.57,44.44,26.9,91.81,4.37,6.97,Medium,Initial,NK,OF,141.65,Broadcast,Controlled_Release,Sprinkler,19.56,48.26,34.07,24.13,14.48,9.65
Vegetable,Loamy,7.67,1.77,145.32,42.45,181.5,1.37,111.31,31.57,64.91,5.93,7.43,High,Mid,NPK,CF,75.72,Broadcast,Normal,Sprinkler,35.71,57.32,75.7,28.66,17.2,11.46
Wheat,Clay,7.86,1.46,152.54,70.42,359.71,1.23,15.89,32.11,92.09,2.46,7.49,High,Initial,NK,CF,153.51,Drip,Controlled_Release,Flood,47.13,49.89,32.5,24.94,14.97,9.98
Corn,Sandy,6.64,1.29,211.47,35.95,326.6,1.46,75.16,32.9,82.54,3.34,3.17,High,Initial,NK,CF,186.21,Foliar,Controlled_Release,Flood,12.96,68.73,36.91,34.36,20.62,13.75
Wheat,Sandy,6.24,2.29,71.4,76.02,358.2,1.21,101.35,26.62,65.89,3.91,2.96,Low,Late,Urea,OF,171.95,Broadcast,Controlled_Release,Drip,55.03,62.2,36.17,31.1,18.66,12.44
Corn,Sandy,5.57,2.38,255.37,66.35,371.82,1.18,87.88,30.28,87.72,1.81,2.9,Low,Mid,NPK,CF,187.75,Foliar,Biochar,Drip,12.46,65.77,35.03,32.88,19.73,13.15
Corn,Loamy,7.38,1.85,193.5,15.3,287.73,1.25,23.36,34.76,89.71,2.36,3.7,Medium,Late,NPK,OF,127.59,Drip,Biochar,Drip,37.87,41.08,32.2,20.54,12.32,8.22
Wheat,Loamy,7.89,1.5,186.49,71.83,275.17,1.25,48.99,26.56,63.93,2.41,7.92,High,Late,NK,OF,154.55,Broadcast,Biochar,Sprinkler,46.95,54.01,34.95,27,16.2,10.8
Rice,Loamy,8.17,0.64,129.09,22.71,213.15,1.31,67.41,17.32,84.75,1.27,4.34,High,Mid,PK,OF,131.16,Broadcast,Biochar,Flood,18.26,53.29,40.63,26.64,15.99,10.66
Vegetable,Sandy,6.93,1.1,141.32,14.17,79.02,1.46,16.07,24.24,87.68,1.32,3.31,Medium,Initial,Urea,CF,75.84,Drip,Biochar,Sprinkler,57.19,34.34,45.28,17.17,10.3,6.87
Citrus,Sandy,8.28,1.07,63.86,25.52,206.2,1.39,31.23,24.46,63.67,4.16,3.81,High,Mid,NPK,CF,121.76,Drip,Normal,Flood,17.67,49.39,40.56,24.7,14.82,9.88
Wheat,Clay,6.11,0.62,238.44,15.96,176.9,1.35,79.13,39.3,66,3.22,7.77,Low,Late,PK,OF,91.57,Foliar,Biochar,Sprinkler,55.77,50.92,55.61,25.46,15.28,10.18
Corn,Clay,7.04,2.19,201.18,53.55,182.45,1.57,100.13,31.22,54.66,5.62,4,Low,Late,PK,CF,159.04,Broadcast,Controlled_Release,Drip,25.41,64.22,40.38,32.11,19.27,12.84
Wheat,Clay,6.14,2.23,294.11,41.32,225.5,1.12,112.98,30.09,64.85,3.39,2.26,Low,Late,Urea,CF,125.02,Broadcast,Biochar,Drip,66.69,61.65,49.31,30.82,18.49,12.33
Vegetable,Clay,6.06,2.32,138.39,43.24,234.55,1.3,25.23,26.24,66.88,3.68,7.47,Medium,Mid,Urea,OF,90.77,Broadcast,Biochar,Sprinkler,67.94,30.11,33.17,15.06,9.03,6.02
Corn,Sandy,8.36,1.98,216.56,53.16,125.6,1.44,65.35,16.4,75.4,3.96,7.87,Low,Initial,NPK,CF,109.15,Drip,Controlled_Release,Drip,15.75,44.67,40.93,22.34,13.4,8.93
Citrus,Loamy,7.95,1.92,279.89,44.89,146.19,1.26,76.44,36.53,72.54,4.5,3.3,Medium,Mid,NPK,OF,146.35,Drip,Biochar,Flood,48.54,59.53,40.68,29.76,17.86,11.91
Citrus,Loamy,5.54,1.46,227.92,79.41,121.12,1.34,86.14,34.57,89.24,1.29,4.34,Low,Mid,NK,OF,140.94,Broadcast,Normal,Flood,29.5,59.1,41.93,29.55,17.73,11.82
Citrus,Loamy,6.31,2.21,60.08,53.66,307.74,1.12,78.46,16.61,75.67,3.23,4.38,Low,Late,NPK,CF,63.07,Foliar,Controlled_Release,Drip,40.29,38.29,60.71,19.14,11.49,7.66
Rice,Loamy,6.12,1.52,208.06,51.03,387.53,1.2,93.85,24.99,47.56,3.61,5.89,High,Mid,NK,CF,92.77,Foliar,Normal,Drip,34.25,56.03,60.4,28.02,16.81,11.21
Corn,Clay,5.94,0.56,186.35,39.01,135.66,1.14,48.18,36.8,53.13,2.88,2.15,Low,Mid,Urea,CF,179.06,Foliar,Normal,Drip,68.52,63.48,35.45,31.74,19.04,12.7
Corn,Sandy,7.59,1.67,174.83,41.25,352.28,1.59,62.12,25.57,90.39,0.6,4.59,High,Mid,PK,CF,169.83,Drip,Normal,Drip,59.05,63.84,37.59,31.92,19.15,12.77
Rice,Loamy,7.2,1.28,188.26,79.26,305.58,1.47,19.72,22.32,43.37,5.84,5.45,High,Initial,NK,CF,122.98,Broadcast,Normal,Drip,29.29,47.3,38.46,23.65,14.19,9.46
Corn,Sandy,6.86,1.54,165.14,10.38,157.17,1.43,3.39,20.79,78.38,2.44,2.57,High,Late,PK,CF,80.66,Drip,Controlled_Release,Flood,13.95,32.5,40.29,16.25,9.75,6.5
Rice,Clay,6.07,1.38,222.96,20.88,233.72,1.1,20.04,20.96,44.6,2.56,4.22,Low,Late,NK,CF,198.23,Drip,Normal,Sprinkler,45.93,57.82,29.17,28.91,17.35,11.56
Wheat,Clay,6.33,1.49,53.73,34.01,263.49,1.33,85.09,20.71,52.14,5.59,7.99,Low,Initial,PK,CF,172.57,Broadcast,Normal,Flood,31.36,62.22,36.05,31.11,18.67,12.44
Vegetable,Loamy,6.57,0.72,97.14,73.31,320,1.45,33.52,17.94,84.35,3.18,2.32,Low,Late,PK,OF,146.65,Broadcast,Biochar,Drip,27.13,48.42,33.02,24.21,14.53,9.68
Citrus,Loamy,7.86,0.53,141.35,75.66,240.53,1.4,90.01,22.86,59.75,4.69,7.51,Low,Initial,NPK,OF,106.62,Drip,Biochar,Flood,58.61,54.55,51.16,27.28,16.36,10.91
Rice,Clay,8.47,1.18,163.17,14.03,279.51,1.36,3.56,35.19,66.39,0.75,3.93,Medium,Initial,Urea,OF,154.34,Drip,Controlled_Release,Drip,34.18,43.32,28.07,21.66,13,8.66
Rice,Clay,6.05,1.01,82.62,19.91,162.18,1.51,37.82,36.45,83.06,4.14,3.69,High,Mid,NPK,OF,128.89,Drip,Biochar,Drip,79.32,48.03,37.26,24.02,14.41,9.61
Rice,Sandy,6.52,1,255.04,71.76,93.16,1.27,6.23,16.36,72.03,3.37,5.58,Medium,Late,Urea,CF,129.94,Foliar,Normal,Drip,68.67,43.23,33.27,21.62,12.97,8.65
Wheat,Clay,6.34,2.37,282.35,29.06,71.03,1.52,90.65,28.74,55.18,2.91,6.88,Medium,Late,PK,OF,147.21,Foliar,Normal,Flood,67.13,58.92,40.02,29.46,17.68,11.78
Rice,Sandy,5.63,2.14,237.8,38.08,152.14,1.29,48.97,35.75,92.28,5.44,7.85,Low,Mid,NK,CF,143.68,Foliar,Biochar,Flood,22.95,49.21,34.25,24.6,14.76,9.84
Vegetable,Clay,6.16,0.53,282.2,10.32,283.72,1.39,21.69,21.92,64.19,5.55,3,High,Mid,PK,CF,135.59,Broadcast,Normal,Drip,15.63,46.14,34.03,23.07,13.84,9.23
Vegetable,Sandy,8.2,0.52,235.81,44.4,81.19,1.36,68.9,22.26,46.34,0.56,2.37,High,Late,NK,OF,136.76,Foliar,Normal,Flood,65.24,61.83,45.21,30.92,18.55,12.37
Citrus,Clay,8.03,2.05,160.26,70.57,308.61,1.31,116.11,30.43,43.6,5.21,7.54,Medium,Initial,Urea,OF,198.61,Broadcast,Normal,Sprinkler,54.48,72.64,36.57,36.32,21.79,14.53
Wheat,Clay,6,2.47,148.28,35.52,192.54,1.23,5.96,28.46,84.85,2.88,4.78,Low,Mid,NPK,CF,177.38,Drip,Controlled_Release,Sprinkler,53,45.32,25.55,22.66,13.6,9.06
Vegetable,Sandy,6.6,1.43,91.6,71.66,213.84,1.32,73.01,31.03,67.67,1.14,6.99,Medium,Mid,Urea,OF,175.59,Drip,Biochar,Flood,50.84,59.13,33.68,29.56,17.74,11.83
Corn,Sandy,6.43,1.37,71.61,34.28,124.56,1.16,83.36,21.02,69.08,3.26,2.69,Medium,Initial,Urea,CF,74.97,Foliar,Normal,Sprinkler,33.11,51.43,68.6,25.72,15.43,10.29
Corn,Loamy,5.94,1.05,104.9,56.07,294.05,1.27,101.3,16.64,56.03,1.68,3.92,Medium,Mid,Urea,CF,196.75,Foliar,Controlled_Release,Drip,16.8,72.3,36.75,36.15,21.69,14.46
Corn,Loamy,7.37,1.83,183.03,30.55,389.67,1.39,39.75,19.46,85.47,1.27,3.53,Low,Late,NK,CF,170.2,Drip,Normal,Drip,20.4,54.42,31.97,27.21,16.33,10.88
Rice,Clay,7.17,1.44,83.74,46.03,190.38,1.13,78.39,17.77,86.41,4.67,4.08,Low,Mid,PK,OF,124.84,Foliar,Biochar,Sprinkler,39.23,49.45,39.61,24.72,14.84,9.89
Rice,Clay,6.78,0.84,287.79,67.98,90.45,1.47,9.96,15.23,69.88,5.51,4.32,High,Mid,PK,CF,92.79,Broadcast,Biochar,Sprinkler,66.91,40.47,43.61,20.24,12.14,8.09
Corn,Sandy,8.07,1.46,104.63,69.39,56,1.38,12.78,24.77,84.33,2.11,2.59,Medium,Late,NK,CF,124.46,Broadcast,Biochar,Flood,34.87,42.38,34.05,21.19,12.71,8.48
Citrus,Clay,7.36,1.25,258.41,15.36,353.16,1.58,86.27,23.48,82.62,4.73,4.77,High,Initial,Urea,CF,73.73,Broadcast,Normal,Sprinkler,25.29,50.68,68.74,25.34,15.2,10.14
Citrus,Loamy,6.28,2.28,254.7,75.05,296.86,1.15,54.79,38.66,54.18,1.25,6.04,Low,Mid,Urea,CF,123.14,Broadcast,Controlled_Release,Flood,69.3,47.83,38.84,23.92,14.35,9.57
Rice,Sandy,6.62,2.04,85.3,46.53,346.24,1.21,60.46,25.44,89.38,5.53,3.01,High,Mid,PK,OF,128.65,Drip,Normal,Drip,59.28,56.72,44.09,28.36,17.02,11.34
Corn,Clay,5.95,1.9,227.69,25.34,187.44,1.37,104.56,37.69,51.16,2.31,6.42,Medium,Initial,Urea,CF,85.38,Broadcast,Controlled_Release,Sprinkler,67.85,53.84,63.06,26.92,16.15,10.77
Citrus,Sandy,7.27,1.15,256.03,68.19,271.65,1.34,17.61,32.72,74.18,2.21,3.75,Medium,Mid,NK,OF,196.65,Drip,Controlled_Release,Flood,64.94,55.81,28.38,27.9,16.74,11.16
Rice,Loamy,7.26,0.78,271.07,54.47,185.75,1.35,22.52,38.38,91.05,1.86,6.89,Low,Initial,PK,CF,162.95,Broadcast,Controlled_Release,Drip,56.19,55.76,34.22,27.88,16.73,11.15
Corn,Loamy,8.11,2.23,288.49,45.56,165.03,1.27,47.01,22.38,54.19,3.22,3.63,High,Late,NK,OF,82.78,Foliar,Biochar,Drip,56.44,37.97,45.87,18.98,11.39,7.59
Wheat,Loamy,8.07,1.19,282.53,66.82,256.61,1.53,45.18,35.64,69.11,3.66,5.63,Low,Initial,NK,OF,118.89,Foliar,Biochar,Sprinkler,46.31,47.66,40.09,23.83,14.3,9.53
Corn,Clay,8.01,1.69,127.78,24.27,126.46,1.13,67.22,22.54,80.73,2.42,2.7,Low,Mid,NK,OF,106.96,Foliar,Normal,Flood,10.36,46.9,43.85,23.45,14.07,9.38
Corn,Clay,7.15,1.68,116.91,50.68,305.14,1.54,52.35,19.8,86.05,2.59,4.39,High,Late,Urea,CF,88.62,Foliar,Normal,Flood,57.21,47.92,54.07,23.96,14.38,9.58
Vegetable,Clay,7.46,2.36,149.38,77.33,271.8,1.49,35.12,25.51,45.19,5.46,5.79,High,Late,Urea,OF,137.11,Drip,Controlled_Release,Drip,34.5,36.36,26.52,18.18,10.91,7.27
Vegetable,Clay,7.83,0.84,166.25,54.6,192.27,1.49,102.31,17.84,40.62,5.17,3.5,Low,Mid,NPK,CF,102.94,Broadcast,Controlled_Release,Drip,51.43,57.64,55.99,28.82,17.29,11.53
Wheat,Clay,5.78,2.04,108.47,51.92,149.85,1.56,18.15,39.16,91.49,2.18,2.23,High,Mid,NPK,OF,165.18,Broadcast,Controlled_Release,Sprinkler,44.32,49.26,29.82,24.63,14.78,9.85
Wheat,Clay,6.4,1.43,71.52,12.06,175.91,1.38,1.18,26.98,68.75,0.68,7.34,High,Initial,PK,OF,150.84,Foliar,Controlled_Release,Flood,16.55,41.66,27.62,20.83,12.5,8.33
Corn,Loamy,6.01,0.85,214.15,22.79,159,1.53,17.36,18.36,78.77,2.76,6.08,High,Late,NPK,CF,150.5,Foliar,Controlled_Release,Sprinkler,34.64,49.84,33.12,24.92,14.95,9.97
Citrus,Loamy,7.03,2.17,93.56,52.85,176.46,1.3,57.51,16.73,56.99,5.77,4.2,High,Initial,NK,OF,197.24,Drip,Controlled_Release,Drip,31.17,55.59,28.18,27.8,16.68,11.12
Wheat,Clay,8.01,2.14,278.72,59.19,55.57,1.44,70.35,39.97,56.26,2.86,6.94,High,Initial,NK,OF,139.55,Drip,Normal,Sprinkler,22.66,52.86,37.88,26.43,15.86,10.57
Corn,Loamy,6.19,0.58,121.92,72.99,169.12,1.25,18.62,30.75,74.78,5.89,2.7,High,Initial,PK,OF,154.03,Broadcast,Controlled_Release,Drip,59.97,55.13,35.79,27.56,16.54,11.03
Rice,Sandy,7.69,1.92,99.42,70.99,239.29,1.5,68.84,25.31,51.32,4.55,6.94,High,Late,Urea,OF,185.18,Foliar,Normal,Sprinkler,67.13,63.19,34.12,31.6,18.96,12.64
Vegetable,Clay,6.72,0.81,98.54,35.19,218.84,1.12,4.38,19.79,79.23,2.29,6.76,High,Late,PK,OF,137.61,Broadcast,Biochar,Drip,40.49,39.42,28.65,19.71,11.83,7.88
Citrus,Sandy,8.21,1.72,122.37,58.29,99.42,1.52,74.4,23.36,51.71,4.76,7.56,High,Late,PK,CF,150.52,Broadcast,Normal,Drip,38.89,61.16,40.63,30.58,18.35,12.23
Corn,Clay,7.38,1.79,203.04,42.47,381.43,1.16,63.41,37.52,41.19,0.88,2.42,Medium,Initial,Urea,CF,191.36,Broadcast,Normal,Sprinkler,56.49,65.29,34.12,32.65,19.59,13.06
Rice,Clay,8.43,1.83,294.58,43.39,114.55,1.18,50.19,28.04,88.74,4.87,6.73,High,Late,PK,OF,95.79,Drip,Normal,Drip,73.8,42.73,44.61,21.36,12.82,8.55
Vegetable,Loamy,6.24,0.74,171.57,76.17,252.28,1.48,110.64,22.08,76.74,3.25,6.33,Medium,Initial,NPK,OF,141.68,Drip,Biochar,Drip,67.42,63.01,44.47,31.5,18.9,12.6
Rice,Sandy,8.27,1.7,199.92,61.3,179.97,1.22,52.2,37.85,82.88,3.38,3.38,High,Late,PK,OF,162.84,Broadcast,Normal,Drip,60.39,62.07,38.12,31.04,18.62,12.41
Corn,Loamy,6.57,0.7,260.65,77.77,285.66,1.35,44.34,36.21,73.83,3.44,4.46,Low,Initial,Urea,CF,96.69,Foliar,Normal,Drip,69.15,47.4,49.02,23.7,14.22,9.48
Wheat,Clay,7.37,1.99,133.51,64.24,202.51,1.35,26.69,20.31,80.77,3.19,4.45,High,Late,PK,OF,125.01,Broadcast,Normal,Sprinkler,68.65,43.53,34.82,21.76,13.06,8.71
Vegetable,Sandy,6.02,0.63,94.97,60.79,64.35,1.29,37.56,26.66,49.28,4.59,7.34,Low,Late,NK,OF,84.56,Foliar,Biochar,Drip,14.34,46.16,54.59,23.08,13.85,9.23
Rice,Clay,7.78,2.02,158.41,39.93,271.83,1.57,26.29,33.83,42.36,4.39,4.67,High,Initial,Urea,OF,128.42,Drip,Controlled_Release,Flood,16.18,43.94,34.22,21.97,13.18,8.79
Wheat,Loamy,8.43,2.27,129.67,17.45,373.99,1.38,21.02,18.02,86.09,2.66,3.98,Low,Late,PK,OF,181.87,Foliar,Controlled_Release,Drip,18.37,45.63,25.09,22.82,13.69,9.13
Citrus,Clay,7.86,1.1,266.53,54.13,354.34,1.46,49.92,27.68,78.87,3.36,6.05,Medium,Initial,NPK,OF,141.43,Foliar,Controlled_Release,Sprinkler,30.34,49.25,34.82,24.62,14.77,9.85
Corn,Clay,7.35,2.06,294.48,42.78,164.9,1.55,7.01,24.04,75.09,4.33,2.58,High,Initial,PK,CF,113.87,Drip,Controlled_Release,Sprinkler,24.69,36.57,32.12,18.28,10.97,7.31
Corn,Loamy,6.84,1.34,222.08,51.34,163.8,1.41,75.84,28.62,58.78,1.49,7.1,Medium,Initial,NPK,CF,160.37,Broadcast,Biochar,Flood,51.78,61.55,38.38,30.78,18.46,12.31
Vegetable,Clay,6.54,2.1,213.44,29.76,255.67,1.45,56.54,27.55,89.93,5.36,7.23,Medium,Late,Urea,CF,158.09,Broadcast,Biochar,Flood,44.01,53.39,33.77,26.7,16.02,10.68
Rice,Sandy,6.76,1.87,228.56,23.72,118.84,1.32,23.81,20.34,47.87,1,2.79,High,Initial,NK,CF,138.89,Broadcast,Biochar,Drip,49.05,46.3,33.34,23.15,13.89,9.26
Citrus,Loamy,6.48,1.08,166.92,28.56,269.69,1.6,0.79,31.57,80.35,0.62,6.66,Low,Late,NPK,CF,142.99,Broadcast,Normal,Sprinkler,66.26,45.13,31.56,22.56,13.54,9.03
Vegetable,Clay,8,0.89,207.2,56.03,330.41,1.49,68.78,17.09,66.95,1.54,7.03,Medium,Initial,Urea,CF,186.93,Foliar,Controlled_Release,Drip,36.63,69.09,36.96,34.54,20.73,13.82
Vegetable,Loamy,8.18,2.33,67.82,76.71,121.23,1.58,8.15,22.25,93.59,1.11,4.42,High,Late,NK,OF,179.49,Drip,Normal,Flood,28.92,44.08,24.56,22.04,13.22,8.82
Rice,Clay,8.35,2.18,173.36,79.43,385.28,1.16,117.85,21.94,65.83,4.35,7.67,Medium,Mid,PK,OF,62.07,Broadcast,Normal,Drip,62.81,48.25,77.73,24.12,14.48,9.65
Citrus,Loamy,6.76,1.82,133.09,66.61,226.13,1.11,58.27,36.85,51.42,5.02,5.52,High,Initial,NK,CF,100.39,Foliar,Normal,Sprinkler,60.42,49.21,49.02,24.6,14.76,9.84
Rice,Loamy,7.14,1.2,63.3,77.03,126.19,1.36,64.68,39.82,71.88,1.33,5.79,Medium,Mid,NPK,OF,175.71,Broadcast,Controlled_Release,Flood,47.38,66.34,37.76,33.17,19.9,13.27
Corn,Sandy,7.23,1.52,186.19,29.87,73.42,1.47,107.13,20.06,84.89,4.69,6.17,Low,Mid,NPK,OF,153.61,Drip,Biochar,Sprinkler,23.72,63.35,41.24,31.68,19,12.67
Wheat,Loamy,7.45,1.62,140.06,10.25,150.28,1.52,113.74,29.62,77.35,3.04,4.41,Medium,Late,Urea,OF,124.43,Drip,Normal,Flood,18.56,66.11,53.13,33.06,19.83,13.22
Corn,Sandy,5.51,0.67,197.65,23.58,215.71,1.52,111.95,36.01,47.78,1.13,3.13,Low,Initial,NPK,OF,131.8,Broadcast,Controlled_Release,Flood,69.47,61.77,46.87,30.88,18.53,12.35
